Doc,Topic,Doc_ID
"Buona domenica, a tutti voi gli auguri di salute, felicità e fortuna che porta in dono la pigna siciliana in ceramica di Caltagirone. Vi voglio bene, grazie per l’affetto che mi avete dimostrato ieri e che mi dimostrate ogni giorno di più😊  https://t.co/AQms2tB48u",81,237
"In diretta da Palermo, vi aggiorno.  https://t.co/9jQrCw7X1H",81,246
"Buongiorno da #Palermo, mi porto avanti con le ottime arance siciliane😉🍊  https://t.co/ixqcfkuMup",81,248
"Ci vediamo domattina, vi terrò aggiornati sulla mia udienza a #Palermo, grazie per l’affetto e buonanotte a chi non molla ❤️  https://t.co/es1rX0l4BL",81,250
"Bellissimo incontro a Palermo con il maestro Vincenzo Argento, che da quando ha 12 anni (oggi è in bottega a 82!) costruisce i magnifici Pupi Siciliani, orgoglio di artigianato, cultura e tradizione. A presto Maestro!  https://t.co/V2hJOAMh6X",81,251
"Ogni volta che vengo a Palermo è per me dovere civico e umano, da italiano e da ministro che ha combattuto la mafia, onorare Paolo Borsellino e gli eroi della sua scorta, Emanuela Loi, Agostino Catalano, Vincenzo Li Muli, Walter Eddie Cosina, Claudio Traina🙏🇮🇹  https://t.co/ijtZFply4D",81,257
"Qui #Palermo. In via D’Amelio ho voluto ricordare Paolo Borsellino, esemplare uomo di Giustizia, e i cinque agenti della sua scorta. #lamafiamifaschifo  https://t.co/GMgnIjW1On",81,258
"La Lega e il Movimento per la Nuova Autonomia immaginano progetti concreti per i siciliani e per tutta Italia. In Sicilia, la Lega sta già dimostrando le proprie capacità lavorando su Beni Culturali e Identità.  https://t.co/LkqWrUYp74",81,473
"Il deputato dell’Assemblea Regionale Siciliana Vincenzo Figuccia ha aderito alla Lega. Le nostre porte sono sempre aperte per le persone perbene, motivate e capaci. Benvenuto e buon lavoro a Vincenzo. @vfiguccia  https://t.co/xEqYoiD1hx",81,1038
"L’invasione di ieri. Sicilia “zona rossa”, Lampedusa “zona #Contevergogna”. CONDIVIDETE.  https://t.co/kdu7Kwq6Bf",81,1287
La lezione di un barista siciliano a Conte. #vociitaliane  https://t.co/MMLCr5nfq9,81,1288
"🔴ULTIM'ORA Amici pugliesi, in arrivo a Bari 800 immigrati sulla nave quarantena partita dalla Sicilia.   https://t.co/uJkFOhstaY",81,1830
"Grazie al governatore Nello Musumeci e al presidente dell'Ars Gianfranco Miccichè per la loro partecipazione oggi a #Catania a ""Gli italiani scelgono la Libertà"", per parlare di idee, progetti e futuro. Per la Sicilia e per tutto il Paese. @Musumeci_Staff @miccichesud  https://t.co/SpmwEMGIWz",81,1972
"#Musumeci: Mediterraneo mare di traffico di merci. Ma navi salutano la Sicilia da lontano, passano per Stretto di Gibilterra e portano la merce nel nord Europa. Sicilia non ha porto hub. Ratio della politica in passato: ""Finanzio solo quello che posso inaugurare"". #Catania  https://t.co/IDSvIqJ3Nq",81,1974
#Farruggia: Turismo è 15% del Pil della Sicilia. Con il virus è stata una stagione difficile per tutti gli operatori. Difficoltà nei trasporti e voli con costi esorbitanti non hanno aiutato l'arrivo dei turisti. #Catania  https://t.co/f6i3lHPNJq,81,1980
"#Minardo: L'immigrazione in Italia è totalmente incontrollata, questo alimenta conseguentemente i traffici di vite umane e il caporalato. Questa non è accoglienza. Stop Ong, difendere i confini e fermare gli sbarchi. La Sicilia è stanca di essere un centro profughi. #Catania  https://t.co/x5VelbfA54",81,2003
#Romeo: Abbiamo difeso e sostenuto #Musumeci anche davanti a P.Chigi. Immigrazione è tema che riguarda anche aspetto sanitario: tutte le competenze che Regione Sicilia ha su questo fronte dovevano essere portate avanti. #Catania,81,2004
"Un abbraccio dalla splendida Sicilia, ora in diretta da San Giovanni La Punta (Catania). Seguite anche voi!  🔴 LIVE 👉  https://t.co/gxpe596RQp  https://t.co/9qYKEJhYjz",81,2020
"P.s. Anche stamane altro sbarco a Lampedusa e un poliziotto ferito durante una fuga di clandestini in Sicilia, questo governo sta umiliando il Paese.",81,2031
#Ricciardello (ANCE): L'edilizia in Sicilia è in una crisi profonda. Decreto semplificazioni? Ha complicato la vita delle imprese. Il Ponte sullo stretto di Messina è un'opera fondamentale per lo sviluppo del Sud e dell'Italia. Portare infrastrutture per portare Lavoro. #Catania,81,2035
