Doc,Topic,Doc_ID
La testimonianza di uno dei nostri pescatori rimasti prigionieri in Libia per ben 108 giorni. Da ascoltare.  https://t.co/6vEVfeUqAU,123,458
Se i #pescatori italiani sequestrati in Libia potranno tornare a casa dalle loro famiglie sarà una giornata di festa per il Paese intero. Senza distinzioni politiche. Non vorrei però che la smania comunicativa di Casalino mettesse a rischio un'operazione delicata.  https://t.co/D2DlMRGBfd,123,512
"Invece di occuparsi dei 18 pescatori sequestrati da 104 giorni in Libia, Di Maio va a parlare di calcio a 90* Minuto... Ma alla Rai ci sono o ci fanno?  https://t.co/DjlJOegxTN",123,590
"Libia, turchi liberati in 5 giorni, i nostri pescatori prigionieri da più di cento. Lo sfogo della moglie di un pescatore: “Governo di incapaci”.  #vociitaliane 🇮🇹  https://t.co/ktOwmACCcF",123,603
"Turchi liberati dopo 5 giorni, i nostri pescatori ancora prigionieri in Libia dopo 102 giorni! Assolutamente indegno e inaccettabile. #riportateliacasa  https://t.co/QP2T8zGDXq",123,613
"🚨 Su iniziativa della Lega con Lorenzo Viviani oggi a mezzogiorno nelle marinerie di tutta Italia sirene all’unisono per ricordare i pescatori di Mazara, prigionieri in Libia ormai da 96 GIORNI.  https://t.co/zqNfm7wYOr",123,689
"Per ricordare i 18 pescatori di Mazara, 18 lavoratori, prigionieri in Libia da 96 giorni. Conte, Di Maio, governo: che cosa aspettate? SVEGLIATEVI!",123,708
"NON AVETE MOSSO UN DITO PER I 18 PESCATORI SEQUESTRATI IN LIBIA, PER ALTRI AVETE SPESO MILIONI! Dedico il mio intervento a loro e alle loro famiglie. #Senato #liberateipescatori  https://t.co/hesj69yZ68",123,781
"Pomeriggio romano con Cristina, Insaf e Leonardo, moglie, figlia e armatore dei 18 pescatori di Mazara del Vallo che da 69 giorni sono prigionieri in Libia.  https://t.co/v7aDyMetUr",123,1263
"Sequestrati in Libia da un mese e mezzo! Non è una battaglia di parte, tutti i parlamentari della Lega stamane sono andati ad abbracciare i famigliari, teniamo alta l'attenzione. Noi dall'opposizione ci stiamo mettendo tutto l'impegno possibile.",123,1661
"Vedete questa? È la tenda in cui sono accampati davanti a Montecitorio mamme, mogli e figli dei pescatori sequestrati in Libia, sotto la pioggia, disperati e senza notizie.  https://t.co/6n7xwuSj5B",123,1666
"#Salvini: abbiamo giustamente riportato a casa, probabilmente pagando, ragazze che si sono convertite all'Islam, andiamo a RIPORTARE A CASA i nostri pescatori che erano per mare a lavorare, non per hobby. Ci sono mamme e mogli incatenate davanti a Montecitorio! #Senato",123,1680
